숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
0|영|영|영|공|영
1|일|하나|한|일|일
2|이|둘|두|이|이
3|삼|셋|세|삼|삼
4|사|넷|네|사|사
5|오|다섯|다섯|오|오
6|육|여섯|여섯|육|육
7|칠|일곱|일곱|칠|칠
8|팔|여덟|여덟|팔|팔
9|구|아홉|아홉|구|구
10|십|열|열|일공|일영
11|십 일|열 하나|열 한|일일|일일
12|십 이|열 둘|열 두|일이|일이
13|십 삼|열 셋|열 세|일삼|일삼
14|십 사|열 넷|열 네|일사|일사
15|십 오|열 다섯|열 다섯|일오|일오
16|십 육|열 여섯|열 여섯|일육|일육
17|십 칠|열 일곱|열 일곱|일칠|일칠
18|십 팔|열 여덟|열 여덟|일팔|일팔
19|십 구|열 아홉|열 아홉|일구|일구
20|이십|스물|스무|이공|이영
21|이십 일|스물 하나|스물 한|이일|이일
22|이십 이|스물 둘|스물 두|이이|이이
23|이십 삼|스물 셋|스물 세|이삼|이삼
24|이십 사|스물 넷|스물 네|이사|이사
25|이십 오|스물 다섯|스물 다섯|이오|이오
26|이십 육|스물 여섯|스물 여섯|이육|이육
27|이십 칠|스물 일곱|스물 일곱|이칠|이칠
28|이십 팔|스물 여덟|스물 여덟|이팔|이팔
29|이십 구|스물 아홉|스물 아홉|이구|이구
30|삼십|서른|서른|삼공|삼영
31|삼십 일|서른 하나|서른 한|삼일|삼일
32|삼십 이|서른 둘|서른 두|삼이|삼이
33|삼십 삼|서른 셋|서른 세|삼삼|삼삼
34|삼십 사|서른 넷|서른 네|삼사|삼사
35|삼십 오|서른 다섯|서른 다섯|삼오|삼오
36|삼십 육|서른 여섯|서른 여섯|삼육|삼육
37|삼십 칠|서른 일곱|서른 일곱|삼칠|삼칠
38|삼십 팔|서른 여덟|서른 여덟|삼팔|삼팔
39|삼십 구|서른 아홉|서른 아홉|삼구|삼구
40|사십|마흔|마흔|사공|사영
41|사십 일|마흔 하나|마흔 한|사일|사일
42|사십 이|마흔 둘|마흔 두|사이|사이
43|사십 삼|마흔 셋|마흔 세|사삼|사삼
44|사십 사|마흔 넷|마흔 네|사사|사사
45|사십 오|마흔 다섯|마흔 다섯|사오|사오
46|사십 육|마흔 여섯|마흔 여섯|사육|사육
47|사십 칠|마흔 일곱|마흔 일곱|사칠|사칠
48|사십 팔|마흔 여덟|마흔 여덟|사팔|사팔
49|사십 구|마흔 아홉|마흔 아홉|사구|사구
50|오십|쉰|쉰|오공|오영
51|오십 일|쉰 하나|쉰 한|오일|오일
52|오십 이|쉰 둘|쉰 두|오이|오이
53|오십 삼|쉰 셋|쉰 세|오삼|오삼
54|오십 사|쉰 넷|쉰 네|오사|오사
