,ID,Nacionality,Gender,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,37c5fefa-df8e-4dcc-aec7-60000f2198e4,Portuguese,Male,1,8,5,2,1,1,13,10,6,10,1,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
1,37cf2ef2-2a6f-466a-a8cf-56a753bd8e71,Portuguese,Male,1,6,1,11,1,1,1,3,4,4,1,0,0,0,0,19,0,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
2,37ddd4c5-ab63-4b43-8df7-24e98f39f25b,Portuguese,Male,1,1,5,5,1,1,22,27,10,10,1,0,0,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
3,37fafa03-d77a-4723-89aa-84a8277379c5,Portuguese,Female,1,8,2,15,1,1,23,27,6,4,1,0,0,1,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
4,382cc9e8-e885-4bcd-ae4d-a3846c35097b,Portuguese,Female,2,12,1,3,0,1,22,28,10,10,0,0,0,1,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
5,383bf719-eefb-4702-9be2-53210a748e41,Portuguese,Male,2,12,1,17,0,12,22,27,10,8,0,0,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
6,383e501d-9483-4cf7-be87-c6983a5f06e5,Portuguese,Female,1,1,1,12,1,1,13,28,8,11,1,0,0,1,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
7,388f15de-4814-4089-aa9a-3f0a802e9d46,Portuguese,Male,1,9,4,11,1,1,22,27,10,10,1,0,0,0,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
8,3899bb4a-e7c0-4de6-98ee-efed175dccfd,Romanian,Female,1,1,3,10,1,1,1,1,10,10,0,0,0,1,1,,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
9,399bb346-852e-4ca5-985f-b86221eb72cd,Portuguese,Female,1,1,1,10,1,1,1,14,5,8,1,0,1,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
10,39b86cf6-888d-4548-8b11-18e7e29bc44a,Portuguese,,1,1,1,14,1,1,23,14,6,8,1,0,0,1,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,,0.79,Graduate
11,39cea137-8501-4481-bfe8-67ba8660f698,Portuguese,Female,1,1,1,12,1,1,13,28,10,10,1,0,0,1,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,,0,12.7,3.7,-1.7,Graduate
12,39e2c9bd-6cfd-4777-b9fc-d03eef598eac,Portuguese,Female,,1,2,16,1,1,13,27,5,10,1,0,0,1,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
13,3a311ae3-97a3-4fa9-aabf-0e3ddc90af9f,Portuguese,Female,1,17,1,11,1,16,1,1,5,8,1,0,0,1,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
14,3a4ef60c-4450-48b4-88b5-dfbdef9e5261,Portuguese,Female,1,1,1,6,1,1,23,27,6,6,1,0,0,1,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
15,3a6fe19a-ef47-49b1-af16-80bdf527fdcb,Portuguese,Female,1,1,1,15,1,1,13,27,10,4,1,0,0,1,0,20,0,0,6,6,5,13.2,0,,6,7,0,0,0,15.5,2.8,-4.06,Dropout
16,3a8419bc-da18-4f18-8a8b-c0fec53a2b6b,Portuguese,Female,1,9,1,10,1,1,13,28,6,9,1,0,0,1,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
