ID,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Age at enrollment,International,Education
37c5fefa-df8e-4dcc-aec7-60000f2198e4,13,10,6,10,1,0,0,1,0,20,0,
37cf2ef2-2a6f-466a-a8cf-56a753bd8e71,1,3,4,4,1,0,0,0,0,19,0,
37ddd4c5-ab63-4b43-8df7-24e98f39f25b,22,27,10,10,1,0,0,0,0,19,0,
37fafa03-d77a-4723-89aa-84a8277379c5,23,27,6,4,1,0,0,1,0,20,0,
382cc9e8-e885-4bcd-ae4d-a3846c35097b,22,28,10,10,0,0,0,1,0,45,0,
383bf719-eefb-4702-9be2-53210a748e41,22,27,10,8,0,0,1,1,0,50,0,
383e501d-9483-4cf7-be87-c6983a5f06e5,13,28,8,11,1,0,0,1,1,18,0,
388f15de-4814-4089-aa9a-3f0a802e9d46,22,27,10,10,1,0,0,0,0,22,0,
3899bb4a-e7c0-4de6-98ee-efed175dccfd,1,1,10,10,0,0,0,1,1,,1,
399bb346-852e-4ca5-985f-b86221eb72cd,1,14,5,8,1,0,1,0,0,18,0,
39b86cf6-888d-4548-8b11-18e7e29bc44a,23,14,6,8,1,0,0,1,0,18,0,
39cea137-8501-4481-bfe8-67ba8660f698,13,28,10,10,1,0,0,1,1,18,0,5
39e2c9bd-6cfd-4777-b9fc-d03eef598eac,13,27,5,10,1,0,0,1,0,19,0,5
3a311ae3-97a3-4fa9-aabf-0e3ddc90af9f,1,1,5,8,1,0,0,1,1,21,0,6
3a4ef60c-4450-48b4-88b5-dfbdef9e5261,23,27,6,6,1,0,0,1,1,18,0,10
3a6fe19a-ef47-49b1-af16-80bdf527fdcb,13,27,10,4,1,0,0,1,0,20,0,6
3a8419bc-da18-4f18-8a8b-c0fec53a2b6b,13,28,6,9,1,0,0,1,0,18,0,6
3ac49c7d-0e7f-44b6-b6a2-3d248d0595e6,13,1,6,5,1,0,0,1,0,18,0,4
3af67509-9391-4ab6-8582-638379168eca,3,14,4,6,1,0,0,1,0,20,0,8
3b14a36a-3027-41fd-896e-7a34300a1601,13,14,8,8,1,0,0,1,0,18,,10
3b2a509f-f300-4627-be79-0a69d3d6d630,1,1,10,9,0,0,0,1,1,21,0,
3b35b0f2-039b-49db-a800-4cb693009a42,1,28,5,8,1,0,0,1,0,,0,
3bbc26c0-f0bd-4914-a6e5-b26ca2d435b0,13,14,2,2,1,0,0,1,0,18,0,
3bcc8c71-9797-4290-b55c-21bca58be26c,1,28,5,8,1,0,0,1,1,19,0,
3bf60325-916d-4974-8c0c-d562d9369fbe,13,14,4,8,0,0,0,1,0,19,0,
3bfcef18-a691-421e-bd59-dd9fdea8fc22,13,28,10,10,1,0,1,1,1,18,0,
3c24e8e6-291f-4f73-b7fd-875881e79fa3,13,28,8,9,1,0,0,1,0,21,0,
