ID,Unemployment rate,Inflation rate,GDP
37c5fefa-df8e-4dcc-aec7-60000f2198e4,10.8,1.4,1.74
37cf2ef2-2a6f-466a-a8cf-56a753bd8e71,13.9,-0.3,0.79
37ddd4c5-ab63-4b43-8df7-24e98f39f25b,10.8,1.4,1.74
37fafa03-d77a-4723-89aa-84a8277379c5,9.4,-0.8,-3.12
382cc9e8-e885-4bcd-ae4d-a3846c35097b,13.9,-0.3,0.79
383bf719-eefb-4702-9be2-53210a748e41,16.2,0.3,-0.92
383e501d-9483-4cf7-be87-c6983a5f06e5,15.5,2.8,-4.06
388f15de-4814-4089-aa9a-3f0a802e9d46,15.5,2.8,-4.06
3899bb4a-e7c0-4de6-98ee-efed175dccfd,16.2,0.3,-0.92
399bb346-852e-4ca5-985f-b86221eb72cd,8.9,1.4,3.51
39b86cf6-888d-4548-8b11-18e7e29bc44a,13.9,,0.79
39cea137-8501-4481-bfe8-67ba8660f698,12.7,3.7,-1.7
39e2c9bd-6cfd-4777-b9fc-d03eef598eac,12.7,3.7,-1.7
3a311ae3-97a3-4fa9-aabf-0e3ddc90af9f,8.9,1.4,3.51
3a4ef60c-4450-48b4-88b5-dfbdef9e5261,10.8,1.4,1.74
3a6fe19a-ef47-49b1-af16-80bdf527fdcb,15.5,2.8,-4.06
3a8419bc-da18-4f18-8a8b-c0fec53a2b6b,10.8,1.4,1.74
3ac49c7d-0e7f-44b6-b6a2-3d248d0595e6,15.5,2.8,-4.06
3af67509-9391-4ab6-8582-638379168eca,10.8,1.4,1.74
3b14a36a-3027-41fd-896e-7a34300a1601,16.2,0.3,-0.92
3b2a509f-f300-4627-be79-0a69d3d6d630,11.1,0.6,2.02
3b35b0f2-039b-49db-a800-4cb693009a42,12.7,3.7,
3bbc26c0-f0bd-4914-a6e5-b26ca2d435b0,12.7,3.7,-1.7
3bcc8c71-9797-4290-b55c-21bca58be26c,11.1,0.6,2.02
3bf60325-916d-4974-8c0c-d562d9369fbe,11.1,0.6,2.02
3bfcef18-a691-421e-bd59-dd9fdea8fc22,7.6,2.6,0.32
3c24e8e6-291f-4f73-b7fd-875881e79fa3,16.2,0.3,-0.92
3c40c5df-7ba0-4f97-8e80-bf06fc004f8e,9.4,-0.8,-3.12
3cc8eaae-e986-4dd7-890d-a5c604ad010a,16.2,0.3,-0.92
3d10cab7-0969-433b-943f-4de8c2aa04c6,16.2,0.3,-0.92
3d1ea7ff-2444-4c71-a68b-b97e797961d3,16.2,0.3,-0.92
3d2e7c84-5946-4262-89a7-eb94c63ddfd5,8.9,1.4,3.51
3d49fe91-cb69-45f2-814c-e61226e80bba,8.9,1.4,3.51
3d4d2162-35fd-4602-b1a5-ce799d036948,12.4,0.5,1.79
3d8c53af-a7f6-4644-bfdf-40a3ac31db1f,13.9,-0.3,0.79
3dc11d1c-cae9-4079-b3b7-b86db47fb0e0,8.9,1.4,3.51
3de73364-078d-4da7-96c9-8f0da322c98a,7.6,,0.32
3e434bbc-741b-4763-b9a0-3df6be513364,16.2,0.3,-0.92
3e47282d-556b-4a3d-a4f7-fa13b025508f,7.6,2.6,0.32
3e5f47d3-5864-4094-a0d9-358dbdd391a0,12.4,0.5,1.79
3e79b11f-c3ed-4479-b89a-7badc2859b20,12.7,3.7,-1.7
3e8bbf28-59eb-4af3-a72b-894adb7e3883,8.9,1.4,3.51
3ea66335-ca73-4d43-bea0-f9f0011e40fb,11.1,0.6,2.02
3eb7d4ef-7e6c-47f3-826e-671f5f02b13e,12.4,0.5,1.79
3eed7db8-87cc-443f-9dc0-9e63a24f8359,16.2,0.3,-0.92
3f15d918-f679-4d4a-a25b-f71357d836b8,7.6,2.6,0.32
3f2b61c0-10d3-433b-a720-cdec1944b1f6,11.1,0.6,2.02
3f3e15db-3329-42d3-8c81-67f2369a3728,11.1,0.6,2.02
3f5c8ee4-4716-49e4-95f2-35f16cc34460,12.4,0.5,1.79
3f61f57f-fdab-4201-a9c8-c833083f382b,12.7,,-1.7
3fb2a0da-758f-45cb-baa3-8926c2531fc9,12.4,0.5,1.79
3fe87785-07ec-4cb9-a955-70884c1fb9bb,9.4,-0.8,-3.12
40085add-8875-44c7-8559-2c00c09ba635,9.4,-0.8,-3.12
403c1040-7a9c-467d-bbaf-f9239eb6fe13,7.6,2.6,0.32
40489a43-b44b-44b8-a3ec-f94da9f9c564,9.4,,-3.12
405ee5b5-eee4-49d1-899a-8ee5dc6c8ba9,15.5,2.8,-4.06
40842874-b77c-4ae0-b0eb-ca26bf2884e1,12.4,0.5,1.79
40b2ec90-39e6-4c53-8cf2-b81e6e3584aa,12.4,0.5,1.79
40bebd37-429b-453c-8dfa-9eebea2017f1,9.4,-0.8,-3.12
40c9ed76-94d2-457d-9418-6f2d1bdae2d0,7.6,2.6,0.32
40ca2f3e-4563-4424-8a03-13b1db7e1358,16.2,0.3,-0.92
40d1a754-219f-4c0e-a92f-6635a7538f39,13.9,-0.3,
41751dec-8c7d-4f85-a3dd-944cf9b855d1,10.8,1.4,1.74
41bfb546-66c9-46c1-b109-5e679b86f9d1,10.8,1.4,1.74
41d82e38-0845-4e64-8c11-77f0e492ce7c,12.7,3.7,-1.7
420d64b7-db33-4371-9cc6-04790d18edc6,13.9,-0.3,0.79
421f4400-60aa-4b1c-96bd-2cea9c898d1d,10.8,1.4,1.74
42b4c346-cd00-4bb3-8033-6926fe84ee25,8.9,1.4,3.51
43249030-9371-46cf-9714-14150e04ad95,16.2,0.3,-0.92
434c912c-dc66-454e-87ba-321c01ac26dc,12.7,3.7,-1.7
434e3c35-ad9c-4b48-994c-f628549b56d0,7.6,2.6,0.32
434fe7c6-0a2d-4d49-9bf6-a095f5fbb423,13.9,-0.3,0.79
4354a2e3-84d4-4fc8-b76e-7917ffc51a7f,15.5,2.8,-4.06
4383ca8a-376e-4d98-bf25-8907e1c41e37,12.4,0.5,1.79
438b6a8c-98c3-444f-8437-1e49923185f5,10.8,1.4,1.74
43cca529-3e5f-4d41-aa9b-b1a03ea8bd51,10.8,1.4,1.74
43d54614-a0a9-4ab0-a54a-a0fd76097612,9.4,-0.8,
43f774ba-9065-4c8d-828e-8ac5d495f853,8.9,1.4,3.51
4424f2ec-1444-4481-ae44-5923fc5e0c01,16.2,0.3,-0.92
4477662d-f6ef-46ba-8648-52fd0b51811a,10.8,1.4,1.74
44c23098-70ca-4045-8b4f-f9f4bb550525,10.8,1.4,1.74
44e28d56-ce95-468b-9132-e630d5390b67,10.8,1.4,1.74
4516fe88-dd55-4ee3-aed6-847cb6fa7bce,12.4,0.5,1.79
451e82e8-adbd-498c-84cc-84e21752f6c1,12.7,3.7,-1.7
45253fa3-9ee9-4f06-9de9-0209c87fea03,9.4,-0.8,
452cf30c-f256-4e28-a4b1-7efc91102273,10.8,1.4,1.74
